0,0,0.5384615384615384,0,658,348,176,134,669,319,216,134,363,201,100,62,69,4,100,6,39,3,7,0.6088154269972452,0.7878787878787878,0.6053811659192825,0.7623318385650224,0.5349544072948328,0.5881458966565349;20,0,0,0,0,0,16,0,0,0,0,4,0
0,1,0.8846153846153846,0,465,220,135,110,898,285,341,272,326,141,41,144,104,8,65,5,35,2,8,0.5521472392638037,0.6073619631901841,0.36525612472160357,0.6247216035634744,0.3225806451612903,0.6236559139784946;0,0,0,0,12,10,0,0,0,12,0,0,3
1,0,0.8846153846153846,0,898,285,341,272,465,220,135,110,89,69,0,20,64,5,105,8,14,1,5,0.29213483146067415,0.7640449438202247,0.3956989247311828,0.6967741935483871,0.47438752783964366,0.6247216035634744;0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.8846153846153846,0,475,220,135,120,951,294,341,316,565,119,294,152,109,8,60,5,54,4,8,0.2814159292035398,0.6460176991150443,0.38170347003154576,0.6235541535226078,0.3494736842105263,0.631578947368421;0,0,0,0,24,20,0,0,0,6,0,0,3
0,1,0.9230769230769231,0,475,220,135,120,966,309,341,316,75,49,6,20,109,8,60,5,19,2,8,0.52,0.6,0.391304347826087,0.629399585921325,0.3494736842105263,0.631578947368421;0,0,0,0,0,0,0,0,0,0,0,0,15
1,0,0.9230769230769231,0,966,309,341,316,523,258,135,130,424,189,135,100,59,5,110,8,49,4,5,0.43160377358490565,0.7169811320754716,0.4187380497131931,0.7304015296367112,0.42028985507246375,0.629399585921325;0,0,0,0,0,10,0,0,0,0,0,20,18
1,1,0.9230769230769231,0,502,237,135,130,1008,339,341,328,368,171,41,156,115,9,54,4,41,3,8,0.5054347826086957,0.7228260869565217,0.3978174603174603,0.6666666666666666,0.4601593625498008,0.749003984063745;0,0,0,0,12,0,0,0,0,18,0,0,3
0,0,0.9230769230769231,0,1002,333,341,328,499,237,142,120,90,63,7,20,53,4,116,9,10,1,5,0.6222222222222222,0.6888888888888889,0.5150300601202404,0.7474949899799599,0.39421157684630737,0.6646706586826348;0,0,0,0,0,0,0,7,0,0,0,0,0
1,1,0.9230769230769231,1,415,180,135,100,1046,351,377,318,603,131,330,142,123,10,46,3,62,5,9,0.43781094527363185,0.41625207296849087,0.4541108986615679,0.5372848948374761,0.4843373493975904,0.7493975903614458;20,0,0,0,0,0,16,0,0,12,0,4,3
0,0,0.9615384615384616,-1,952,345,369,238,322,177,135,10,316,171,135,10,45,3,124,10,43,3,4,0.37341772151898733,0.689873417721519,0.36645962732919257,0.6770186335403726,0.46638655462184875,0.39810924369747897;0,0,0,0,0,10,0,0,0,0,0,0,48
1,1,0.9615384615384616,1,309,164,135,10,985,354,369,262,381,180,41,160,124,10,45,3,42,3,9,0.5459317585301837,0.5748031496062992,0.4842639593908629,0.4243654822335025,0.33980582524271846,0.6634304207119741;0,0,0,0,24,0,0,0,0,18,0,0,0
0,0,0.9615384615384616,-1,985,354,369,262,309,164,135,10,6,6,0,0,44,3,125,10,2,0,4,0.0,0.0,0.33980582524271846,0.6634304207119741,0.4842639593908629,0.4243654822335025;0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.9615384615384616,1,268,164,94,10,1053,394,397,262,623,171,350,102,126,10,43,3,63,5,9,0.21348314606741572,0.43659711075441415,0.33618233618233617,0.47863247863247865,0.26492537313432835,0.6380597014925373;0,0,0,0,0,0,0,28,0,12,0,16,12
1,1,1.0,1,268,164,94,10,1073,414,397,262,69,63,6,0,126,10,43,3,21,2,9,0.4782608695652174,0.4782608695652174,0.34855545200372784,0.48835041938490215,0.26492537313432835,0.6380597014925373;0,0,0,0,0,0,0,0,0,0,0,8,12
0,1,0.8846153846153846,0,475,220,135,120,951,294,341,316,565,119,294,152,109,8,60,5,54,4,8,0.2814159292035398,0.6460176991150443,0.38170347003154576,0.6235541535226078,0.3494736842105263,0.631578947368421;0,0,0,0,24,20,0,0,0,6,0,0,3
