1,0.5384615384615384,0,1,0,0,0,2,12.398100418739418,8,22,3,2,2,1,3,0;0
1,0.5384615384615384,0,1,9,0,0,0.6712724315919303,2,56,10,1,2,2,2,4,2;2
1,0.5384615384615384,0,1,6,0,0,5.992103576459392,2,41,15,2,3,2,2,3,1;1
1,0.5384615384615384,1,0,0,10,1,2,2,56,4,0,3,3,2,4,3;0
1,0.5384615384615384,0,0,5,3,1,-5.949050209369709,2,33,4,1,3,3,3,4,2;1
1,0.5384615384615384,0,0,27,2,1,11.290815395864037,2,42,38,2,2,2,1,4,1;0
10,0.8846153846153846,0,1,0,0,0,2,2,11,46,1,2,2,1,1,1;0
10,0.8846153846153846,0,1,0,0,0,2,2,11,43,1,3,3,2,2,2;0
10,0.8846153846153846,0,1,0,0,0,2,2,20,43,1,2,2,1,2,2;0
10,0.8846153846153846,0,1,0,0,0,2,2,14,4,7,4,2,2,2,2;0
10,0.8846153846153846,0,0,10,3,1,-8.851179835197101,2,37,7,7,4,3,2,3,3;3
10,0.8846153846153846,1,0,39,8,1,-26.461637999164836,2,32,30,0,3,3,2,2,2;2
10,0.8846153846153846,0,1,0,0,0,2,7.333333333333334,6,53,1,5,2,2,1,0;0
10,0.8846153846153846,0,1,0,0,0,2,7.333333333333334,6,49,1,5,2,2,2,0;0
10,0.8846153846153846,1,0,29,8,1,-31.88617322034971,2,21,18,0,6,3,3,2,1;0
10,0.8846153846153846,0,1,0,0,0,0,2,10,0,1,5,4,3,5,5;0
10,0.8846153846153846,0,1,21,0,0,-28.09658508866346,2,60,9,7,2,2,2,4,4;2
10,0.8846153846153846,0,1,0,0,0,0,2,24,0,3,4,4,3,8,8;0
10,0.8846153846153846,0,1,0,0,0,2,2,57,13,7,2,2,1,4,4;0
10,0.8846153846153846,1,0,1,12,1,-2.0,2,4,0,0,6,5,4,6,6;1
10,0.8846153846153846,0,0,5,2,1,-10.392837100659193,2,36,0,8,3,3,2,5,5;2
10,0.8846153846153846,0,0,9,3,1,-18.813250060790445,2,29,0,8,3,3,3,5,5;1
10,0.8846153846153846,0,0,0,10,1,0,2,4,0,2,5,5,4,7,7;0
11,0.9230769230769231,0,1,0,0,0,2,2,6,37,2,2,2,1,2,2;0
11,0.9230769230769231,0,0,33,4,0,9.202946466592863,2,13,37,1,3,2,1,2,2;3
11,0.9230769230769231,1,0,44,8,1,-7.9277744202228035,2,11,37,0,4,2,1,3,3;2
11,0.9230769230769231,0,1,0,0,0,2,58.51265325079999,32,40,3,2,2,2,5,0;0
11,0.9230769230769231,0,1,14,0,0,-9.823534267505273,2,74,11,1,2,2,2,4,2;0
11,0.9230769230769231,0,1,0,0,0,2,2,37,84,2,3,2,2,3,2;0
11,0.9230769230769231,0,1,0,0,0,2,2,28,76,3,3,2,2,3,1;0
11,0.9230769230769231,0,1,0,0,0,2,11.462517929652172,29,107,4,3,2,1,2,0;0
11,0.9230769230769231,0,0,0,2,0,2,2,22,50,4,4,3,1,2,1;0
11,0.9230769230769231,1,0,24,10,1,-41.510601077468486,2,61,8,0,3,3,3,4,3;10
11,0.9230769230769231,0,0,0,3,1,2,2,42,29,1,3,3,3,4,3;0
11,0.9230769230769231,0,0,18,2,1,22.49602280747913,2,57,56,2,2,2,2,5,1;2
11,0.9230769230769231,0,1,0,0,0,2,2,12,49,1,2,2,1,1,1;0
11,0.9230769230769231,0,1,0,0,0,2,2,12,40,1,3,3,2,2,2;0
11,0.9230769230769231,0,1,0,0,0,2,2,15,48,1,2,2,1,2,2;0
11,0.9230769230769231,0,1,0,0,0,2,2,39,28,5,3,2,2,2,2;0
11,0.9230769230769231,0,1,23,0,0,-14.795024762233254,2,50,20,6,4,3,2,3,3;0
11,0.9230769230769231,0,1,0,0,0,0,2,21,0,7,4,4,3,4,4;0
11,0.9230769230769231,0,0,8,2,0,24.62156836418952,2,31,22,5,4,3,1,3,3;0
11,0.9230769230769231,0,0,9,3,1,-11.5,2,49,4,7,4,4,3,4,4;3
11,0.9230769230769231,1,0,38,8,1,-39.16399018305163,2,34,27,0,3,3,2,2,2;2
11,0.9230769230769231,0,1,0,0,0,2,2,6,57,1,5,2,2,1,1;0
11,0.9230769230769231,0,1,0,0,0,2,21.635549089510327,21,60,1,5,2,1,0,0;1
11,0.9230769230769231,1,0,29,8,1,-18.863104875010208,2,21,26,0,6,3,2,1,1;0
11,0.9230769230769231,0,1,12,0,0,-25.154700538379252,2,25,0,1,5,5,3,3,3;3
11,0.9230769230769231,0,1,0,0,0,0,2,54,0,7,7,6,2,6,6;0
11,0.9230769230769231,0,1,0,0,0,0,2,20,0,3,8,8,3,6,6;0
11,0.9230769230769231,0,1,27,0,0,-56.471816446099886,2,57,0,6,8,6,2,7,7;0
11,0.9230769230769231,0,1,0,0,0,2,2,54,4,7,7,6,1,6,6;0
11,0.9230769230769231,0,1,2,0,0,-4.0,2,54,0,6,7,5,2,6,6;0
11,0.9230769230769231,1,0,4,12,1,-8.0,2,11,0,0,6,6,4,4,4;2
11,0.9230769230769231,1,0,3,8,1,-6.0,2,26,0,7,8,6,3,7,7;0
11,0.9230769230769231,0,0,6,2,1,-12.0,2,29,0,8,7,5,2,6,6;2
11,0.9230769230769231,0,0,0,3,1,0,2,20,0,8,8,7,3,7,7;0
11,0.9230769230769231,0,0,0,10,1,0,0,0,0,2,7,7,4,5,5;0
12,0.9615384615384616,0,1,0,0,0,2,-2.0,0,56,3,2,2,1,4,0;0
12,0.9615384615384616,0,1,14,0,0,-9.522584476874982,2,42,16,1,2,2,2,5,2;0
12,0.9615384615384616,0,1,0,0,0,2,-33.267879393843636,11,50,2,3,2,2,2,0;0
12,0.9615384615384616,1,0,16,10,1,-16.727272727272723,2,24,22,0,3,3,3,4,2;8
12,0.9615384615384616,0,0,17,3,1,-17.911326320782404,2,20,22,1,3,3,3,3,1;3
12,0.9615384615384616,0,0,20,2,1,14.12710708025918,2,25,57,2,2,2,1,4,1;2
12,0.9615384615384616,0,1,0,0,0,2,2,20,28,1,2,2,1,1,1;0
12,0.9615384615384616,0,1,0,0,0,2,2,20,28,1,3,3,2,2,2;0
12,0.9615384615384616,0,1,0,0,0,2,2,20,28,1,2,2,1,2,1;0
12,0.9615384615384616,0,1,0,0,0,2,2,44,3,5,3,2,2,2,3;0
12,0.9615384615384616,0,1,3,0,0,-6.0,2,36,0,6,4,3,3,3,4;0
12,0.9615384615384616,0,1,0,0,0,0,2,24,0,7,5,4,3,4,5;0
12,0.9615384615384616,0,0,21,2,0,-43.20850892721589,2,48,0,5,4,3,2,3,3;0
12,0.9615384615384616,0,0,9,3,1,-18.0,2,51,0,7,4,4,3,4,5;3
12,0.9615384615384616,1,0,41,8,1,-66.4713361122616,2,42,7,0,3,3,2,2,2;2
12,0.9615384615384616,0,1,0,0,0,0,2,75,0,1,5,5,3,5,5;4
12,0.9615384615384616,0,1,0,0,0,0,2,55,0,7,7,6,2,8,8;0
12,0.9615384615384616,0,1,0,0,0,0,0,0,0,3,8,8,3,8,8;0
12,0.9615384615384616,0,1,0,0,0,0,2,31,0,6,8,6,2,7,7;0
12,0.9615384615384616,0,1,0,0,0,0,2,55,0,7,7,6,1,7,7;0
12,0.9615384615384616,0,1,0,0,0,0,2,31,0,6,7,5,2,6,6;0
12,0.9615384615384616,1,0,16,12,1,-32.0,2,44,0,0,6,6,4,6,6;8
12,0.9615384615384616,1,0,0,8,1,0,0,0,0,7,8,6,3,7,7;0
12,0.9615384615384616,0,0,6,2,1,-12.0,2,12,0,8,7,5,2,6,6;2
12,0.9615384615384616,0,0,0,3,1,0,0,0,0,8,8,7,3,9,9;0
12,0.9615384615384616,0,0,0,10,1,0,0,0,0,2,7,7,4,7,7;0
13,1.0,0,1,0,0,0,2,0,0,3,2,2,2,1,3,3;0
13,1.0,0,0,34,4,0,-41.13963579959528,2,13,8,1,3,2,1,3,3;0
13,1.0,1,0,28,8,1,-40.12414201859255,2,13,4,0,4,2,1,3,3;6
10,0.8846153846153846,0,1,0,0,0,0,2,10,0,1,5,4,3,5,5;0
10,0.8846153846153846,0,1,21,0,0,-28.09658508866346,2,60,9,7,2,2,2,4,4;2
10,0.8846153846153846,0,1,0,0,0,0,2,24,0,3,4,4,3,8,8;0
10,0.8846153846153846,0,1,0,0,0,2,2,57,13,7,2,2,1,4,4;0
10,0.8846153846153846,1,0,1,12,1,-2.0,2,4,0,0,6,5,4,6,6;1
10,0.8846153846153846,0,0,5,2,1,-10.392837100659193,2,36,0,8,3,3,2,5,5;2
10,0.8846153846153846,0,0,9,3,1,-18.813250060790445,2,29,0,8,3,3,3,5,5;1
10,0.8846153846153846,0,0,0,10,1,0,2,4,0,2,5,5,4,7,7;0
11,0.9230769230769231,0,1,0,0,0,2,2,6,37,2,2,2,1,2,2;0
11,0.9230769230769231,0,0,33,4,0,9.202946466592863,2,13,37,1,3,2,1,2,2;3
11,0.9230769230769231,1,0,44,8,1,-7.9277744202228035,2,11,37,0,4,2,1,3,3;2
11,0.9230769230769231,0,1,0,0,0,2,2,12,49,1,2,2,1,1,1;0
11,0.9230769230769231,0,1,0,0,0,2,2,12,40,1,3,3,2,2,2;0
11,0.9230769230769231,0,1,0,0,0,2,2,15,48,1,2,2,1,2,2;0
11,0.9230769230769231,0,1,0,0,0,2,2,39,28,5,3,2,2,2,2;0
11,0.9230769230769231,0,1,23,0,0,-14.795024762233254,2,50,20,6,4,3,2,3,3;0
11,0.9230769230769231,0,1,0,0,0,0,2,21,0,7,4,4,3,4,4;0
11,0.9230769230769231,0,0,8,2,0,24.62156836418952,2,31,22,5,4,3,1,3,3;0
11,0.9230769230769231,0,0,9,3,1,-11.5,2,49,4,7,4,4,3,4,4;3
11,0.9230769230769231,1,0,38,8,1,-39.16399018305163,2,34,27,0,3,3,2,2,2;2
11,0.9230769230769231,0,1,0,0,0,2,2,6,57,1,5,2,2,1,1;0
11,0.9230769230769231,0,1,0,0,0,2,21.635549089510327,21,60,1,5,2,1,0,0;1
11,0.9230769230769231,1,0,29,8,1,-18.863104875010208,2,21,26,0,6,3,2,1,1;0
11,0.9230769230769231,0,1,12,0,0,-25.154700538379252,2,25,0,1,5,5,3,3,3;3
11,0.9230769230769231,0,1,0,0,0,0,2,54,0,7,7,6,2,6,6;0
11,0.9230769230769231,0,1,0,0,0,0,2,20,0,3,8,8,3,6,6;0
11,0.9230769230769231,0,1,27,0,0,-56.471816446099886,2,57,0,6,8,6,2,7,7;0
11,0.9230769230769231,0,1,0,0,0,2,2,54,4,7,7,6,1,6,6;0
11,0.9230769230769231,0,1,2,0,0,-4.0,2,54,0,6,7,5,2,6,6;0
11,0.9230769230769231,1,0,4,12,1,-8.0,2,11,0,0,6,6,4,4,4;2
11,0.9230769230769231,1,0,3,8,1,-6.0,2,26,0,7,8,6,3,7,7;0
11,0.9230769230769231,0,0,6,2,1,-12.0,2,29,0,8,7,5,2,6,6;2
11,0.9230769230769231,0,0,0,3,1,0,2,20,0,8,8,7,3,7,7;0
11,0.9230769230769231,0,0,0,10,1,0,0,0,0,2,7,7,4,5,5;0
12,0.9615384615384616,0,1,0,0,0,2,2,6,32,2,2,2,1,2,2;0
12,0.9615384615384616,0,0,23,4,0,65.43721240096376,2,20,50,1,3,2,1,3,3;0
12,0.9615384615384616,1,0,60,8,1,-8.101076262893116,2,20,49,0,4,2,1,3,3;6
12,0.9615384615384616,0,1,0,0,0,2,-2.0,0,56,3,2,2,1,4,0;0
12,0.9615384615384616,0,1,14,0,0,-9.522584476874982,2,42,16,1,2,2,2,5,2;0
12,0.9615384615384616,0,1,0,0,0,2,-33.267879393843636,11,50,2,3,2,2,2,0;0
12,0.9615384615384616,1,0,16,10,1,-16.727272727272723,2,24,22,0,3,3,3,4,2;8
12,0.9615384615384616,0,0,17,3,1,-17.911326320782404,2,20,22,1,3,3,3,3,1;3
12,0.9615384615384616,0,0,20,2,1,14.12710708025918,2,25,57,2,2,2,1,4,1;2
12,0.9615384615384616,0,1,0,0,0,2,2,20,28,1,2,2,1,1,1;0
12,0.9615384615384616,0,1,0,0,0,2,2,20,28,1,3,3,2,2,2;0
12,0.9615384615384616,0,1,0,0,0,2,2,20,28,1,2,2,1,2,1;0
12,0.9615384615384616,0,1,0,0,0,2,2,44,3,5,3,2,2,2,3;0
12,0.9615384615384616,0,1,3,0,0,-6.0,2,36,0,6,4,3,3,3,4;0
12,0.9615384615384616,0,1,0,0,0,0,2,24,0,7,5,4,3,4,5;0
12,0.9615384615384616,0,0,21,2,0,-43.20850892721589,2,48,0,5,4,3,2,3,3;0
12,0.9615384615384616,0,0,9,3,1,-18.0,2,51,0,7,4,4,3,4,5;3
12,0.9615384615384616,1,0,41,8,1,-66.4713361122616,2,42,7,0,3,3,2,2,2;2
12,0.9615384615384616,0,1,0,0,0,0,2,75,0,1,5,5,3,5,5;4
12,0.9615384615384616,0,1,0,0,0,0,2,55,0,7,7,6,2,8,8;0
12,0.9615384615384616,0,1,0,0,0,0,0,0,0,3,8,8,3,8,8;0
12,0.9615384615384616,0,1,0,0,0,0,2,31,0,6,8,6,2,7,7;0
